product_id,product_brand,product_model_name
B01LXF0WML,Sony,"Sony Xperia XZ F8332 64GB Forest Blue, 5.2"", Dual Sim, GSM Unlocked International Model, No Warranty"
B01LY3OB8D,Google,Google Pixel XL Phone 32GB - 5.5 inch display ( Factory Unlocked US Version ) (Very Silver)
B01LYHIUQ7,Apple,"Apple iPhone 6S, 32GB, Silver - For AT&T / T-Mobile (Renewed)"
B01LZXT34U,Samsung,Samsung Galaxy S6 Edge Plus SM-G928T 32GB for T-Mobile (Renewed)
B01M01YX15,Google,"Google Pixel Phone - 5 inch display (Factory Unlocked US Version) (32GB, Quite Black)"
B01M0PADR4,Google,"Google Pixel XL G2PW210032GBBK Factory Unlocked Smartphone, 32GB, 5.5-Inch Display - U.S. Version (Quite Black)"
B01M1CT4PT,Google,Google Pixel XL Phone 32GB - 5.5 inch display (Factory Unlocked US Version) (Really Blue)
B01M1HY1E3,Sony,Sony Xperia XZ F8331 32GB Unlocked GSM 4G LTE Phone w/ 23MP Camera - Mineral Black
B01M59QP6C,Samsung,Samsung Galaxy Note 5 SM-N920V 32GB White Smartphone for Verizon (Renewed)
B01M6X8SDM,HUAWEI,Huawei Honor 8 Dual Camera Unlocked Phone 64GB - Sapphire Blue - GSM - US Warranty
B01MDMJGYT,Motorola,"Motorola MOTO Z PLAY (XT1635) Factory Unlocked Phone - 5.5"" Screen - 32GB - Black (International Version - No Warranty)"
B01MSC0FK8,Samsung,Samsung Galaxy S7 G930P 32GB Gold - Sprint (Renewed)
B01MY2FEAS,Samsung,Samsung Galaxy Note 5 N920T 32GB - White (T-Mobile)
B01MZG55UE,Samsung,"Samsung Galaxy S6, G920P White Pearl 32GB - Sprint (Renewed)"
B01N064CH1,Motorola,Motorola Droid MAXX 2 XT1565 16GB Blue - Verizon Unlocked (Renewed)
B01N0O2MFZ,Motorola,"Motorola XT1601 Moto G4 Play DUAL SIM Black+Lava Cover 2GB/16GB (International Version) , GSM ONLY"
B01N1Q6V7K,Samsung,Samsung J3 - Verizon Prepaid
B01N2HPFWK,Google,"Google Pixel XL (128GB, 4GB RAM) 5.5"" AMOLED HD Display, Global 4G LTE, US Factory Unlocked Model (GSM, Verizon, Sprint) - Very Silver"
B01N37MPDI,Samsung,"Samsung Galaxy Note 5, N920P 64GB - Gold Platinum (Sprint)"
B01N4E0RF1,Samsung,Samsung Galaxy S7 - Black - 32GB - Verizon (Renewed)
B01N4IHGHI,Apple,"Apple iPhone 6S, 16GB, Gold - For AT&T (Renewed)"
B01N4R20RS,Apple,"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)"
B01N5BOBIF,Google,"Google Pixel, 5"" 32GB (Verizon Wireless) - Black"
B01N5WQ2P4,Samsung,Samsung Galaxy Note 4 N910P 32GB Frosted White - Sprint (Renewed)
B01N9I0RWL,Apple,"Apple iPhone 6S, 128GB, Rose Gold - For AT&T / T-Mobile (Renewed)"
B01N9R1JA7,Samsung,Samsung TWSAS120VCP-3 Galaxy J1 Luna 4G LTE Total Wireless Prepaid Smartphone
B01N9TM7KG,Samsung,"Samsung Galaxy S7 Edge, 5.5"" 32GB (Verizon Wireless) - Blue"
B01N9XOXCK,Samsung,Samsung Galaxy S7 Edge G935V 32GB Gold - Verizon (Renewed)
B01N9YO1DS,Apple,"Apple iPhone 7, 128GB, Gold - For AT&T / T-Mobile (Renewed)"
B01NB1KG8U,Samsung,Samsung Galaxy S7 Edge G935A 32GB Gold - Unlocked GSM (Renewed)
B01NC157KR,Samsung,Samsung Galaxy Note 5 32GB N920P Gold Platinum - Sprint (Certified Refurbished)
B01NC2MEJP,Samsung,Samsung Galaxy Note 5 32GB GSM Unlocked - Black (Renewed) (D132)
B06WP78R6X,Samsung,Samsung Galaxy S7 Edge G935P 32GB Black - Sprint (Renewed)
B06WRSK754,Samsung,Samsung Galaxy S6 G920A 32GB Unlocked GSM (Black Sapphire) (Renewed)
B06WWLYGWW,Samsung,Samsung Galaxy S6 Edge G925P 32GB White Pearl - Sprint (Certified Refurbished)
B06X9HVVC5,Sony,Sony Xperia XA1 G3123 32GB Unlocked GSM LTE Octa-Core Phone w/ 23MP Camera - White
B06X9X15Y8,Apple,"Apple iPhone 7 Plus, 128GB, Silver - Fully Unlocked (Renewed)"
B06XGLHP8V,Apple,"Apple iPhone 7 Plus, GSM Unlocked, 128GB - Rose Gold (Renewed)"
B06XGZHSBS,Sony,Sony Xperia L1 G3313 16GB Unlocked GSM Quad-Core Android Phone - Pink
B06XJCHZPW,Samsung,Samsung Galaxy S6 Edge G925P 32GB Gold - Sprint (Renewed)
B06XR1K6HR,Apple,"Apple iPhone 6S Plus, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)"
B06XR8G1TX,Apple,"Apple iPhone 6S, 64GB, Space Gray - Fully Unlocked (Renewed)"
B06XRG6S73,Apple,"Apple iPhone 6S, 16GB, Rose Gold - For AT&T / T-Mobile (Renewed)"
B06XRJQX91,Apple,"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)"
B06XRJXL3R,Apple,Apple iPhone 7 Plus 256GB Unlocked GSM Quad-Core Phone - Black (Renewed)
B06XRN4RWL,Apple,"Apple iPhone 7 Plus, 128GB, Gold - For Sprint (Renewed)"
B06XS2GWFC,Samsung,Samsung Galaxy J7 - Verizon Carrier Locked No Contract Prepaid Smartphone
B06XS3CTJM,Apple,Apple iPhone 7 Plus 256GB Unlocked GSM 4G LTE Quad-Core Smartphone - Jet Black (Renewed)
B06XS4978K,Apple,Apple iPhone 7 Plus 32GB Unlocked GSM 4G LTE Quad-Core Smartphone - Black (Renewed)
B06XS98LMS,Samsung,Samsung G550T GSM 4G LTE Unlocked Galaxy ON5 Smartphone
B06XSF5C42,Samsung,Samsung Galaxy S7 Edge 32GB G935A GSM Unlocked (Renewed) (Black)
B06XW9RMYW,Samsung,"Samsung Galaxy S7 Active G891A 32GB Unlocked GSM Shatter,Dust and Water Resistant Smartphone w/ 12MP Camera (AT&T) - Sandy Gold"
B06XY93RFQ,Samsung,Samsung Galaxy Note 4 N910v 32GB Verizon Wireless CDMA Smartphone - Frosted White (Renewed)
B06XYKR7GP,Samsung,Samsung Galaxy S8+ 64GB GSM Unlocked Phone - International Version (Midnight Black)
B06XYMCMHD,Samsung,"Samsung Galaxy S8 SM-G950F Unlocked 64GB - International Version/No Warranty (GSM Only, No CDMA) (Midnight Black)"
B06XZPNYL7,Samsung,Samsung Galaxy S8 64GB GSM Unlocked Phone - International Version (Orchid Gray)
B06XZRH5ZC,Samsung,Samsung Galaxy S8 64GB Unlocked Phone - International Version (Maple Gold)
B06XZWNRC5,Samsung,Samsung Galaxy S8+ SM-G955U 64GB Arctic Silver AT&T
B06Y14K2C6,Samsung,"Samsung Galaxy S8+ 64GB Phone -6.2"" display - T-Mobile Unlocked (Arctic Silver)"
B06Y14T5YW,Samsung,Samsung Galaxy S8 64GB Factory Unlocked Smartphone - US Version (Midnight Black) - US Warranty - [SM-G950UZKAXAA]
B06Y15CB1T,Samsung,Samsung Galaxy S8 64GB GSM Unlocked Phone - US Version (Coral Blue)
B06Y15D68F,Samsung,Samsung Galaxy S8 64GB Unlocked Phone - US Version (Orchid Gray)
B06Y16RL4W,Samsung,"Samsung Galaxy S8+ 64GB Factory Unlocked Smartphone - 6.2"" Screen - US Version (Midnight Black) - US Warranty [SM-G955UZKAXAA]"
B06Y17BL9Y,Samsung,Samsung Galaxy S8 G950U 64GB AT&T GSM Unlocked Phone - Orchid Grey
B06Y189H68,Samsung,"Samsung Galaxy S8 64GB Phone- 5.8"" display - AT&T Unlocked (Midnight Black)"
B06Y18MNFG,Samsung,Samsung Galaxy S7 G930T 32GB T-Mobile Unlocked - Gold (Certified Refurbished)
B06Y29N548,Samsung,Samsung Galaxy S7 Edge G935A 32GB Unlocked GSM Smartphone w/12MP Camera - Black
B06Y2GX8K8,Sony,"Sony Xperia XZ Premium - Unlocked Smartphone - 5.5"", 64GB - Dual SIM - Pink (US Warranty)"
B06Y3HCFZT,Samsung,"Samsung Galaxy S8+, 6.2"" 64GB (Verizon Wireless) - Midnight Black"
B06ZZMX54B,Samsung,Samsung Galaxy J3 Emerge J327P SILVER Android Cell Phone - SPRINT
B0711S4T9J,HUAWEI,"Huawei E8372h-608 Unlocked 150 Mbps 4G LTE WiFi USB Wingle (4G LTE in USA (AT&T only), Europe, Asia, Middle East and Africa) (White, Telenor Logo)"
B0714DBSNH,Motorola,Verizon Motorola Moto E4 Plus Carrier Locked Prepaid Phone
B071DQ128D,Samsung,Samsung Galaxy S8 Plus (S8+) (SM-G955FD) 4GB RAM / 64GB ROM 6.2-Inch 12MP 4G LTE Dual SIM FACTORY UNLOCKED - International Stock No Warranty (MAPLE GOLD)
B071H9KKKF,Samsung,Samsung Galaxy S8 Plus (S8+) (SM-G955FD) 4GB RAM / 64GB ROM 6.2-Inch 12MP 4G LTE Dual SIM FACTORY UNLOCKED - International Stock No Warranty (MIDNIGHT BLACK)
B071JP8XDJ,Sony,Sony Xperia XA1 Ultra G3223 32GB Unlocked GSM LTE Octa-Core Phone w/ 23MP - Gold
B071JPQYGK,Apple,"Apple iPhone 7 Plus, AT&T Locked, 128GB - Jet Black (Renewed)"
B071KGTRG8,Samsung,"Samsung Galaxy J7 4G LTE 5"" 16 GB GSM Unlocked - Black"
B071VGLCRX,Samsung,Samsung Galaxy S6 (SM-G920V) - 32GB Verizon + GSM Smartphone - Black Sapphire (Renewed)
B071VTYHDQ,Motorola,Verizon Motorola Moto E4 Prepaid Phone - Carrier Locked to Verizon Prepaid
B071W9WQ8M,Apple,"Apple iPhone 6S, 32GB, Gold - For AT&T / T-Mobile (Renewed)"
B071XBH5PL,Samsung,Samsung Galaxy S8 Plus 64GB Orchid Gray AT&T
